names,R01-003,R01-004,R01-005,R01-006,R01-007,R01-012,R01-013,R01-014,R01-015,R01-016,R01-017,R01-018,R01-021,R01-022,R01-023,R01-024,R01-026,R01-027,R01-028,R01-029,R01-031,R01-032,R01-033,R01-034,R01-035,R01-037,R01-038,R01-039,R01-040,R01-041,R01-042,R01-043,R01-046,R01-048,R01-049,R01-051,R01-052,R01-054,R01-055,R01-056,R01-057,R01-059,R01-060,R01-061,R01-062,R01-063,R01-064,R01-065,R01-066,R01-067,R01-068,R01-069,R01-071,R01-072,R01-073,R01-076,R01-077,R01-078,R01-079,R01-080,R01-081,R01-083,R01-084,R01-089,R01-091,R01-093,R01-094,R01-096,R01-097,R01-098,R01-099,R01-100,R01-101,R01-102,R01-103,R01-104,R01-105,R01-106,R01-107,R01-108,R01-109,R01-110,R01-111,R01-112,R01-113,R01-114,R01-115,R01-116,R01-117,R01-118,R01-119,R01-120,R01-121,R01-122,R01-123,R01-124,R01-125,R01-126,R01-127,R01-128,R01-129,R01-130,R01-131,R01-132,R01-133,R01-134,R01-135,R01-136,R01-137,R01-138,R01-139,R01-140,R01-141,R01-142,R01-144,R01-145,R01-146,R01-147,R01-148,R01-149,R01-150,R01-151,R01-152,R01-153,R01-154,R01-156,R01-157,R01-158,R01-159,R01-160
Elongation,0.788571217,0.750884121,0.758221517,0.730828829,0.934464036,0.760294853,0.792796673,0.448739922,0.778853804,0.805454096,0.335538718,0.719469563,0.757998663,0.723359757,0.850601867,0.663879419,0.875163167,0.63983237,0.836461804,0.585816892,0.777809498,0.371221551,0.581742,0.840654478,0.932138786,0.798388826,0.960375606,0.661135882,0.982240118,0.865924361,0.906304825,0.797634281,0.488916887,0.771295861,0.897946228,0.972923752,0.674494555,0.839690577,0.786046001,0.822611364,0.822168667,0.802654353,0.805295579,0.943197048,0.928647489,0.892348382,0.91961854,0.899059492,0.661401511,0.942611805,0.693522579,0.80982989,0.757318006,0.972006266,0.881552245,0.838737841,0.70028109,0.649577417,0.764192634,0.238078557,0.95844662,0.72553008,0.834537764,0.950412207,0.735930029,0.708622173,0.907842298,0.780351172,0.56878624,0.943290648,0.817080911,0.946167187,0.938514694,0.831150388,0.867361614,0.761520159,0.819387364,0.739644865,0.83256564,0.821319146,0.723579523,0.358335757,0.808385568,0.839914377,0.836273123,0.956740429,0.907359848,0.610395543,0.815934761,0.870318494,0.957539913,0.869523037,0.879421015,0.108953791,0.965338235,0.745068301,0.041919888,0.8044987,0.896733904,0.389418445,0.696793525,0.740190699,0.88337355,0.88886346,0.724914648,0.865877577,0.610993927,0.919700666,0.95091687,0.69515676,0.765402646,0.905189742,0.65748736,0.654883393,0.881186091,0.909601937,0.63403948,0.537192478,0.802911137,0.467489167,0.852365643,0.550318736,0.834341794,0.64227684,0.746103024,0.744849562,0.888025929,0.326738224,0.640858171,0.788436304
Flatness,0.655127986,0.542406047,0.665728147,0.45896686,0.886382448,0.7437289,0.769153264,0.280307316,0.739151741,0.722534818,0.17690601,0.567779266,0.605880013,0.677898683,0.823954541,0.49329302,0.827122978,0.229403791,0.67174685,0.536409734,0.563479276,0.206893344,0.346316951,0.54751579,0.704458911,0.547393168,0.729176454,0.406961723,0.854893269,0.819329115,0.756748896,0.721850187,0.452563661,0.693438226,0.71212668,0.850248586,0.260471433,0.782470655,0.532935256,0.564509427,0.752396914,0.640847582,0.569257597,0.233819109,0.60479286,0.825564976,0.87302348,0.561779332,0.636544415,0.640806511,0.634240806,0.547816783,0.668103125,0.711590148,0.733694671,0.714547331,0.590228837,0.587384847,0.567638735,0.220943197,0.827708639,0.500847485,0.793087806,0.911893079,0.564293933,0.646114884,0.745883622,0.57745617,0.540928802,0.35473116,0.790381637,0.916499852,0.904141831,0.680543484,0.62707553,0.579926856,0.739718503,0.683946256,0.541356985,0.620344474,0.685097132,0.336381447,0.742161291,0.707344848,0.638182503,0.866000139,0.856131914,0.558477353,0.712213907,0.715789503,0.806137757,0.785268996,0.796312564,0.085473596,0.837041255,0.342735976,0.036379552,0.404212861,0.839202039,0.249292818,0.48124928,0.386936894,0.67455054,0.725273066,0.596829388,0.357902071,0.572102124,0.634632885,0.741939052,0.66271365,0.435178971,0.529315816,0.587080473,0.561448535,0.681358702,0.846383273,0.545966388,0.428351916,0.542302935,0.383816289,0.651392088,0.464781569,0.671426478,0.614410154,0.207141912,0.731551242,0.727608713,0.177430882,0.561418906,0.548466191
LeastAxisLength,12.32494962,10.44832952,18.24081684,13.75904264,10.96339017,29.36994049,12.63783618,15.41878877,45.77132711,9.803925624,12.47089114,38.41485681,9.583749514,18.67655563,48.26563181,14.26931282,17.41739296,8.139586595,29.9921333,39.90682936,13.89268094,24.62113248,14.67577521,21.02068171,20.89920295,13.62285787,21.47868375,19.69495577,24.88430466,10.22564902,34.49636662,13.18241757,14.21156236,17.06431155,9.682399705,21.96386589,9.658995525,66.50891089,13.87522856,19.59116656,12.72236659,8.333723182,9.656131751,5.505392295,9.996153454,16.81179599,11.50785455,36.50235465,29.03010625,17.59930061,8.632309866,48.75875601,10.69107616,9.121870826,12.69448214,17.92313827,28.59378252,17.98331771,13.09864235,13.65569411,15.20920472,7.704941108,18.22508563,50.50929234,7.155206564,18.39533768,12.5317789,13.59143736,12.13528303,15.84145329,31.30529701,31.71342419,26.92132963,22.80290946,32.16874911,16.70481246,22.80663175,24.04685368,28.68222662,8.568610669,14.04582895,11.9585622,13.94539752,50.70279304,24.06618465,49.93381489,8.177875675,8.933402244,15.54221296,30.81652531,26.27856669,9.419702824,18.52279447,15.1564166,11.18787876,12.08043712,13.67627724,10.76812739,16.16634972,11.89821885,18.74878897,17.80716931,16.62514096,19.98675454,29.60123564,15.34166165,22.64224559,16.18415569,15.39122768,11.29144925,22.80939253,13.93917603,21.21571808,23.31781197,12.27333109,26.32450307,50.29898933,24.14675565,30.32889599,61.50998233,12.81663428,20.74549419,21.53507627,21.19735058,1.918502527,42.40136891,39.3835696,11.31599381,9.743955864,33.11517959
MajorAxisLength,18.81304093,19.26292963,27.39979813,29.97829222,12.36869051,39.49011593,16.43084254,55.00672963,61.92412814,13.56879333,70.49444589,67.65808313,15.81790008,27.55065925,58.57802753,28.92664652,21.0578033,35.48148247,44.64797016,74.39616925,24.65517637,119.0039851,42.37671634,38.39283192,29.66702901,24.88678826,29.45608521,48.39510612,29.10808351,12.48051465,45.58495798,18.26198541,31.40234974,24.6082649,13.59645689,25.83228747,37.08274419,84.99860089,26.0354863,34.70476424,16.90911585,13.00422037,16.96267524,23.54551912,16.52822662,20.36398888,13.18160944,64.97632176,45.60578268,27.46429742,13.61046117,89.00559008,16.00213465,12.81899539,17.30213213,25.08320651,48.44524823,30.61590335,23.07566687,61.80635691,18.37507065,15.38380714,22.97990903,55.38948975,12.67992823,28.47069175,16.80125228,23.53674283,22.4341595,44.65763113,39.60782431,34.60275976,29.77556034,33.50691027,51.29964023,28.8050334,30.83150098,35.1589814,52.9820939,13.81266543,20.50195262,35.55059983,18.79025177,71.68044434,37.71050531,57.66028507,9.552121042,15.99599732,21.82239467,43.05249686,32.59810928,11.99551093,23.26070857,177.3227917,13.36598249,35.24706467,375.9330878,26.63974466,19.26395429,47.72788462,38.95858083,46.02086182,24.64624957,27.55755793,49.59748334,42.86552912,39.57727935,25.5016027,20.74459841,17.03820232,52.41382061,26.33432746,36.13766603,41.53152161,18.01302465,31.10234322,92.12836262,56.37130295,55.92611443,160.2589158,19.67575983,44.63493302,32.07361786,34.50032598,9.261778598,57.96090075,54.12740241,63.77691218,17.35594539,60.37779567
Maximum2DDiameterColumn,19.76423538,20.99202322,30.04848434,33.01514804,15.27219843,40.40602361,18.69445061,25.64785566,71.56814934,14.13609172,195.532606,80.50465825,14.82327741,32.38353908,72.49827584,26.92582404,29.20000401,40.01249805,47.588579,73.18800762,29.0141567,55.82702297,173.7236472,45.33087675,34.39772295,27.07456789,33.85745438,61.75256194,36.83599632,13.98961145,58.08468297,23.96490319,37.83315552,25.17935662,15.19605808,32.05470894,28.44292531,93.67705495,27.29468813,41.34444905,20.46576791,13.93077192,18.45176573,25.07987241,21.02379604,23.81418093,16.45380014,69.7813707,41.35596701,31.04332321,13.35478385,107.5929398,16.43083383,16.62594717,20.3125,28.63564213,57.71020157,28.75562285,30.03235949,19.56215761,21.58703314,17.287352,27.92149125,64.76707764,11.58275253,27.72380949,19.14828126,25.90217851,18.31431658,53.23532662,49.72323951,39.06250107,36.89352506,41.08840663,65.34911576,33.70942747,39.24323768,45.8789593,61.13100686,16.41898787,22.53469547,36.5625,21.17023087,88.11735057,38.60051813,67.22791153,11.35798865,17.25554712,25.20424381,48.27113567,42.96328434,14.60435981,26.11863576,26.75162451,16.17887107,42.80335753,21.2616294,31.86207229,25.89400562,31.91670152,40.22185788,41.43669871,33.50111182,31.90265727,46.4865572,41.78516483,36.98482388,31.28582541,26.48879084,17.98669323,59.8565727,26.28450578,48.75400625,38.2479034,21.63709731,37.8308056,114.629839,42.8425211,54.52329225,130.6366718,23.18036026,56.008732,33.851492,40.19950248,8.062257748,67.72112024,64.13876564,25.40759545,14.53586116,68.73136111
Maximum2DDiameterRow,23.04886114,24.24424565,26.64520672,33.24154028,15.69453431,49.0750239,17.31737473,27.89664238,71.34423593,15.63597344,27.89265136,79.101201,18.32613191,25.36223894,73.08214556,33.30165161,25.79227539,32.06243908,58.17559122,87.58891279,23.88581643,54.00398748,29.87304308,47.95436103,33.43588459,23.46040547,36.0243706,52.25482185,38.44804543,14.63087489,50.86891414,20.84064026,20.99819212,28.7923601,14.96396275,30.92970514,42.04759208,98.55399852,26.17250466,36.28801144,18.81499153,12.68851982,17.54010144,24.0208243,20.09975124,23.27284605,16.64190869,75.41523238,49.96873452,30.63539224,14.86614523,81.33541355,15.68913085,16.38633464,20.96313729,27.65863337,48.89400985,28.71182696,29.35154026,19.56215761,20.61552813,19.85297522,27.90854338,66.04079216,14.49151626,35.01611925,18.35878132,23.18036026,25.46634232,48.25971405,47.87280602,39.14156899,38.01639548,41.25963421,61.26069215,29.5785302,36.47881662,51.66236541,55.36244214,16.91582543,19.53125,25.43565718,19.35215833,75.81591308,46.17358552,65.52352671,11.90887438,18.28859361,25.26628207,58.07982956,41.02953365,16.06152791,25.72684656,111.0690241,15.81077637,40.00800443,24.05146358,31.21335742,25.16976001,23.67368142,159.0626727,50.15974482,35.92717518,34.42042453,62.00806399,52.46903849,44.27647789,27.91599861,24.70538756,16.30077809,48.85816965,29.0710043,37.60532085,41.15410254,22.32225286,37.53978376,107.2800075,53.680621,68.69092299,185.5649506,22.08824631,58.01602944,35.12351722,28.65309756,9.055385138,67.72112024,61.24530088,20.1300823,18.19121123,60.74537019
Maximum2DDiameterSlice,24.8216293,18.6833516,32.43887508,26.07680962,14.12671153,51.44368606,18.00691398,28.55914915,62.96824597,15.77901682,30.87069808,58.54912467,18.6961353,32.72402506,71.84705979,23.02172887,25.44921867,42.57933771,49.25500897,65.63228337,28.23329844,46.12842975,22.36257116,46.31676659,33.25434398,25.50754331,38.58056288,67.83841671,36.02355187,14.68500644,53.04191079,23.99171194,37.11266433,27.31300057,16.04286603,31.83156981,43.96589587,91.4194702,31.01612484,36.86843999,21.03580003,15.96875,21.01023919,27.31300057,23.2594067,23.91599973,17.25837659,77.29579479,47.11462014,38.13922579,13.4890285,102.7866407,17.53608802,15.0310957,20.04146093,28.46049894,51.96532608,32.80896528,20.42168247,46.92852739,21.84032967,12.93198856,23.84187564,65.18201726,12.50800525,34.45715121,20.44680276,26.07549886,25.74954318,53.36665626,42.54134019,40.38415018,33.76705211,34.5441668,54.30614218,32.35663293,29.67013051,31.2574991,62.20128616,14.44154986,21.3239751,18.8959166,20.52641059,75.46745958,44.91102315,68.80432169,10.88155334,17.20524652,23.2988084,57.13389735,39.43389157,12.73466715,27.26843516,23.89309789,17.07055839,32.12280502,22.77300198,32.8292368,26.61324785,39.62598476,29.60648898,51.66236541,30.87956912,28.30896863,61.66036004,59.21148537,37.58924926,27.91469222,26.70227792,17.76709751,54.11572988,29.13517878,36.32510068,51.32976514,21.72394927,33.89950485,69.92138443,57.31845088,56.14170052,122.7713641,21.51276533,28.16835559,36.8514708,43.93176527,10.29563014,52.58947439,63.14513776,52.1615775,17.82594408,67.89698079
Maximum3DDiameter,25.7731995,24.24424565,32.87408481,34.72751071,16.50376437,51.70630899,19.88111682,152.9890979,77.41446893,15.82845134,198.542187,80.51086883,19.12974699,33.28326358,81.98780397,33.66006536,29.54814293,44.39594576,58.40364996,87.70705355,29.40905606,199.9244547,174.636516,49.16948116,35.85759562,32.2575845,39.72158928,67.83841671,38.6230089,15.88264149,59.95829759,26.06643843,37.98899923,30.5122926,16.16705138,32.53962302,45.26588119,98.55845743,31.0322413,47.36881775,21.48082357,16.68107613,21.22678317,27.87471973,24.24871131,24.4743494,17.30358525,82.6844898,54.76234829,39.45599515,15.38315201,113.1104869,18.45261034,17.75243436,21.25,28.93095228,58.80825386,33.93296224,31.5388681,47.29756055,21.86321111,19.92968597,28.18877062,66.57404591,14.51069667,35.06021264,21.29266037,27.03125,25.81312222,54.27706698,50.55559372,40.52564453,38.81602093,41.76910562,66.22884106,33.89257928,39.97297353,52.10135105,67.25325271,17.07822627,24.06706531,40.49739575,21.97398738,89.06014804,46.49731175,74.73870615,11.93447278,19.0605788,26.65333733,58.72532103,43.55621448,16.08246221,27.52508049,111.0723487,17.3401297,42.84789504,223.9154089,33.32578446,26.94256962,54.94801218,172.5244831,51.70106382,37.17056815,34.88410289,62.65780079,59.24525297,44.77114658,31.68138891,27.36338581,19.97238513,62.41814107,29.93502893,51.44838224,58.61491935,22.50913095,41.12240713,121.2641744,64.86294813,73.19428987,198.629663,24.81142256,61.35106358,41.09213631,47.2546294,10.29563014,68.25415228,68.00050254,54.02821332,19.35108939,73.87827827
MeshVolume,2000.289917,1733.336792,6920.949793,5437.75,1106.169957,18836.11461,1901.922753,4679.122925,93969,997.9772886,4240.791667,88361.375,1145.572903,6863.731893,85856.16667,4357.333333,4494.629727,4331.666667,33724.87736,83522.33105,3571.224213,27233.72555,2822.343581,15338.7795,11467.23836,4082.775116,11775.65251,16719.50022,13948.19424,865.8056259,43379.01484,2027.247761,4042.003314,4962.583333,1097.403009,9700.037839,5696.75,288729.2633,5213.583333,11853.93743,1905.854543,742.3564911,1247.445325,1871.791667,1654.833333,4579.410236,1092.878977,91519.22035,27304.46318,7536.64907,735.174386,193625.4,1447.91044,901.5312195,2128.372192,5965.666667,25987.46879,7418.230021,3454.356761,3635.905016,3527.041667,956.2174479,5511.201143,104818.1405,536.6771348,6989.417158,2048.78055,3741.645813,1951.192313,19236.58333,25004.65127,25978.68417,15437.36167,13795.02264,45645.72699,6659.645058,12489.38916,14819.20125,37766.58333,925.9569574,2836.894989,2511.21521,2642.858467,152590.0761,16519.08333,110994.7174,485.8652751,773.3980815,3963.34362,31345.71012,17503.86014,711.6743397,6251.946572,4818.224271,1365.46505,5391.085844,3159.144402,3040.286064,2969.484035,4156.469743,6882.350922,18166.29167,4733.012239,9278.778076,34918.79167,15478.125,14777.95887,6558.398967,3480.431684,1519.097859,25689.21464,5856.682777,10601.54057,15946.64669,1896.348861,15871.66657,175520.625,24219.79313,44900.72489,466844.7474,2911.949158,15141.54496,10994.18395,10265.54167,86.33333333,76036.33802,63346.07339,3391.534795,1201.195717,64417.375
MinorAxisLength,14.83542258,14.46422799,20.7751165,21.90900019,11.55809645,30.02413189,13.02631731,24.68371558,48.22984276,10.92904017,23.65361603,48.67793149,11.98994712,19.92903819,49.82657958,19.20380527,18.42901382,22.70220103,37.34632168,43.58253267,19.17703035,44.17684394,24.65231571,32.27510609,27.65378842,19.86933366,28.28890569,31.99574119,28.59112736,10.80718167,41.31386737,14.56638561,15.35313909,18.98025286,12.20888719,25.13284606,25.01210904,71.37252422,20.46508988,28.54853345,13.90214524,10.43789409,13.65996738,22.20806412,15.34889615,18.17177253,12.12205242,58.41757883,30.16373357,25.88817096,9.439162135,72.0793872,12.11870471,12.46014384,15.25273343,21.03823448,33.92529123,19.88739941,17.63425464,14.71476829,17.61152437,11.16141482,19.17760191,52.6428472,9.331539952,20.17496345,15.25288747,18.36692486,12.76024124,42.1251258,32.36279717,32.73999588,27.94480088,27.84928146,44.49533876,21.93561361,25.26294232,26.00516004,44.11107093,11.34460658,14.8347931,12.73905111,15.18976835,60.20543573,31.53628205,55.16592587,8.667211097,9.763885464,17.80565038,37.46938424,31.21399071,10.43037309,20.45595594,19.31999043,12.90269395,26.26147057,15.75907286,21.43163994,17.27464093,18.5861186,27.14608685,34.06421386,21.77184499,24.49490628,35.95394218,37.11630051,24.18147734,23.45384099,19.72638859,11.84422152,40.11767696,23.83756309,23.76005864,27.19830379,15.87282677,28.29075164,58.41301908,30.28223991,44.90370011,74.91930714,16.77094168,24.56343992,26.76035987,22.15876033,6.910241022,43.17215153,48.06653679,20.83835499,11.12269941,47.60404606
